Name,Description,Muscles Involved,Related Conditions,Structures Involved,URL
Tibial External Rotation PAIL,"The tibial external rotation rail is an exercise used to increase your end ranges through mobility training. Start by sitting on a padded surface like a yoga mat or exercise mat. Bend the target knee so that it is not locked straight, and stabilize the inner thigh with your hand. Place the other hand on the inside of the target foot. Rotate the shin into external rotation and hold a stretch here for 2 minutes. Once at your end range, press outwards with your hand to try and rotate the shin into external rotation. Resist this force and hold a maximal contraction for 4-8 seconds. Rest for 4-8 seconds before repeating.","semitendinosus, semimembranosus, sartorius, gracilis, popliteus",N/A,N/A,https://www.rehabhero.ca/exercise/tibial-external-rotation-pail
Tibial Internal Rotation PAIL,"The tibial internal rotation pail is an exercise used to increase your end ranges through mobility training. Start by sitting on a padded surface like a yoga mat or exercise mat. Bend the target knee so that it is not locked straight, and stabilize the inner thigh with the same side hand. Place the other hand on the outside of the target foot. Use your hand to rotate the shin into internal rotation. Once at your end range, press outwards with your foot to try and rotate the shin into external rotation. Resist this force and hold a maximal contraction for 4-8 seconds. Rest for 4-8 seconds before repeating.","Biceps femoris, Vastus lateralis, Tensor fascia latae, Lateral gastrocnemius",N/A,N/A,https://www.rehabhero.ca/exercise/tibial-internal-rotation-pail
Knee CAR,"The knee continuous articular rotation exercise is used to maintain multi-angular knee mobility and to sustain good joint capsule health. Start by standing with one leg hovering off of the floor in front of you. Begin to rotate the tibia externally as much as you can while keeping the front of the thigh squared forwards. Maintain this rotation and bend the knee into full knee flexion. Once there, rotate the tibia internally maximally while keeping the thigh squared forwards. Extend the knee while maintaining this rotation until it is straight. Keep the internal rotation and bend the knee once more. Once in maximal knee flexion, externally rotate the tibia. Extend the knee while keeping this external rotation to complete a single repetition of the knee CAR.",N/A,N/A,"knee meniscus, knee joint capsule",https://www.rehabhero.ca/exercise/knee-car
Tibial External Rotation RAIL,"The tibial external rotation rail is an exercise used to strengthen your end ranges through mobility training. Start by sitting on a padded surface like a yoga mat or exercise mat. Bend the target knee so that it is not locked straight, and stabilize the inner thigh with the same side’s hand. Place the opposite hand on the outside of the target foot. Rotate the shin into external rotation. Once at your end range, press inwards with your hand to try and rotate the shin into internal rotation. Resist this force and hold a maximal contraction for 4-8 seconds. Rest for 4-8 seconds before repeating.","Biceps femoris, Vastus lateralis, Tensor fascia latae, Lateral gastrocnemius",N/A,N/A,https://www.rehabhero.ca/exercise/tibial-external-rotation-rail
Tibial Internal Rotation RAIL,"The tibial internal rotation rail is an exercise used to strengthen your end ranges through mobility training. Start by sitting on a padded surface like a yoga mat or exercise mat. Bend the target knee so that it is not locked straight, and stabilize the outer thigh with the opposite hand. Place the other hand on the inside of the target foot. Rotate the shin into internal rotation. Once at your end range, press outwards with your hand to try and rotate the shin into external rotation. Resist this force and hold a maximal contraction for 4-8 seconds. Rest for 4-8 seconds before repeating.","semitendinosus, semimembranosus, sartorius, gracilis, popliteus",N/A,N/A,https://www.rehabhero.ca/exercise/tibial-internal-rotation-rail
Seated Straight Leg Raise EQI,"The seated straight leg raise eccentric quasi isometric is a controlled failure exercise used to increase end range strength. Start by sitting on the floor with the target leg straight in front of you. Bend the non-target leg to provide stability for your body. While keeping the knee straight, raise the affected leg off of the floor as high as you can. Attempt to push through the top range as hard as you can until you start to fatigue. Continue to try to raise the leg as the leg reaches failure eccentrically.","IliopsoasPsoas MajorIliacus, Psoas Major, Iliacus, Rectus Femoris, Pectineus","Myofascial Pain Syndrome Iliopsoas, Internal Snapping Hip Syndrome, Mechanical Low Back Pain, Anterior Pelvic Tilt, Lower Cross Syndrome, Iliopsoas Tendinitis / Tendinopathy",N/A,https://www.rehabhero.ca/exercise/seated-straight-leg-raise-eqi
Wall Isometric Shoulder Flexion,"The wall isometric shoulder flexion is an effort based exercise that uses a wall. Stand 1 small step away from a wall and face towards it. Keep the elbow straight and aligned with your shoulder. With your palms facing the wall, press forwards into the wall by slowly ramping up your strength over the course of 3 seconds. Hold your maximal tolerable contraction for 5-7 seconds before ramping your strength back down to a rest (again over a 3 second count).",N/A,"Rotator Cuff Tear, Rotator Cuff Tendinitis, Biceps Pulley Dysfunction, AC Joint Sprain, Shoulder Impingement, Anterior Deltoid Strain, biceps tendonitis, biceps tenosynovitis","Pectoralis Major, Anterior Deltoids, Biceps Brachii (Long Head), Proximal Biceps Tendon",https://www.rehabhero.ca/exercise/wall-isometric-shoulder-flexion
Wall Isometric Shoulder Abduction,The wall isometric shoulder abduction is an effort based isometric contraction exercise that uses a wall. Stand beside a wall with your elbows bent to 90 degrees. Abduct the shoulder to approximately 30-45 degrees. Press your forearm outwards into the wall by slowly ramping up your strength over the course of 3 seconds. Hold your maximal tolerable contraction for 5-7 seconds before ramping your strength back down to a rest (again over a 3 second count).,"Rotator CuffSupraspinatus, Supraspinatus, Lateral Deltoids, Upper Trapezius","Rotator Cuff Tear, Rotator Cuff Tendinitis, Biceps Pulley Dysfunction, AC Joint Sprain, Shoulder Impingement, Supraspinatus Strain",N/A,https://www.rehabhero.ca/exercise/wall-isometric-shoulder-abduction
Wall Isometric Shoulder Extension,"The wall isometric shoulder extension is an effort based isometric contraction exercise that uses a wall. Place your back against the wall then take a small step forwards. With your palms facing the wall, press backwards into the wall with straight elbows by slowly ramping up your strength over the course of 3 seconds. Hold your maximal tolerable contraction for 5-7 seconds before ramping your strength back down to a rest (again over a 3 second count).","Rotator CuffTeres Minor, Teres Minor, Latissimus Dorsi, Teres Major, Triceps Brachii","Rotator Cuff Tear, Rotator Cuff Tendinitis, Biceps Pulley Dysfunction, AC Joint Sprain, Shoulder Impingement, Teres Minor Strain, Latissimus Dorsi Strain, Teres Major Strain",N/A,https://www.rehabhero.ca/exercise/wall-isometric-shoulder-extension
Wall Isometric Shoulder External Rotation,The wall isometric shoulder external rotation exercise is a strengthening and stability exercise used to target the external rotators of the shoulder. Start by standing next to a wall at a 30-60 degree angle. Place the target arm against the wall. Bend the elbow to 90 degrees. Proceed to rotate the shoulder into external rotation by pressing the back of your hand into the wall. Hold this contraction for up to 5-7 seconds and rest for 4-5 seconds. Repeat as required.,"Rotator CuffInfraspinatusTeres minor, Infraspinatus, Teres minor",N/A,N/A,https://www.rehabhero.ca/exercise/wall-isometric-shoulder-external-rotation
Wall Block Isometric Shoulder Internal Rotation,The wall block isometric internal rotation is a strengthening exercise for the rotator cuff. Start by leaning your back against a wall. Raise the elbow up to 90 degrees shoulder abduction and rotate the shoulder into roughly 45 degrees internal rotation. Sandwich a yoga block between the wall and your hand. Press your hand into the yoga block with maximal tolerable effort for 4-8 seconds. Rest for 4-8 seconds between repetitions.,"subscapularis, pectoralis major, latissimus dorsi, teres major",N/A,N/A,https://www.rehabhero.ca/exercise/wall-block-isometric-shoulder-internal-rotation
Dumbbell Seated Straight Leg Raise,"The dumbbell seated straight leg raise is an end range strengthening exercise for the hip flexors. This exercise requires a dumbbell foot strap to attach a weight to the bottom of your foot. Start by sitting on the floor with the target leg straight in front of you. Bend the non-target leg and push your abdomen towards it. While keeping the knee straight, raise the affected leg off of the floor as high as possible and hold for 5-7 seconds. Relax and rest for 5-7 seconds and repeat as required.","IliopsoasPsoas MajorIliacus, Psoas Major, Iliacus, Rectus Femoris, Pectineus","Myofascial Pain Syndrome Iliopsoas, Internal Snapping Hip Syndrome, Mechanical Low Back Pain, Anterior Pelvic Tilt, Lower Cross Syndrome, Iliopsoas Tendinitis / Tendinopathy",N/A,https://www.rehabhero.ca/exercise/dumbbell-seated-straight-leg-raise
Dumbbell Hip Curl,"The dumbbell hip curl is a strengthening exercise for the hip flexors. This exercise requires a dumbbell ankle strap. Attach a dumbbell to the bottom of your foot. While standing raise the knee up to 90 degrees hip flexion. Keep the core braced to maintain a neutral spine. Hold the hip flexion for up to 2 seconds before returning to start position. If needed, you may hold onto a wall for additional support.","Hip FlexorsIliopsoasPsoas MajorIliacusRectus Femoris, IliopsoasPsoas MajorIliacus, Psoas Major, Iliacus, Rectus Femoris","Iliopsoas Tendinitis / Iliopsoas Tendinopathy, Internal Snapping Hip Syndrome, Hip Impingement",N/A,https://www.rehabhero.ca/exercise/dumbbell-hip-curl
Dumbbell Crook Lying Straight Leg Raise,The dumbbell crook lying straight leg raise is a hip flexor strengthening exercise. Start by lying down in a crook lying position (one knee bent with the foot flat on the floor) on your back with a dumbbell attached to your foot using an ankle foot strap. Keep your knee straight and raise the leg up as far as you can. Hold with maximum contraction for up to 7 seconds and slowly release the contraction to lower the leg back down to the ground. Repeat as required.,"Rectus Femoris, Psoas Major, Iliacus, Iliopsoas","Internal Snapping Hip Syndrome, Iliopsoas Tendinopathy, Hip Replacement, Rectus Femoris Strain",N/A,https://www.rehabhero.ca/exercise/dumbbell-crook-lying-straight-leg-raise
Dumbbell Supine Straight Leg Raise,The dumbbell supine straight leg raise is a hip flexor strengthening exercise. Start by lying down on your back with a dumbbell attached to your foot using an ankle foot strap. Keep your knee straight and raise the leg up as far as you can. Hold with maximum contraction for up to 7 seconds and slowly release the contraction to lower the leg back down to the ground. Repeat as required.,"Rectus Femoris, Psoas Major, Iliacus, Iliopsoas","Internal Snapping Hip Syndrome, Iliopsoas Tendinopathy, Hip Replacement, Rectus Femoris Strain",N/A,https://www.rehabhero.ca/exercise/dumbbell-supine-straight-leg-raise
Dumbbell Front Kick,The dumbbell front kick exercise is used to strengthen the hip flexors and knee extensors. Put on an ankle foot strap to attach a dumbbell to the bottom of your foot. Begin the exercise by raising the knee to hip height while keeping it bent. Maintain knee height and straighten out the knee to kick the foot forwards. Hold this end range position for up to 2 seconds before bending the knee. Lower the weight back to the ground to complete a repetition.,"Psoas major, iliacus, pectineus, rectus femoris",N/A,N/A,https://www.rehabhero.ca/exercise/dumbbell-front-kick
Standing Dumbbell Hamstring Curl,"The standing dumbbell hamstring curl is used to strengthen knee flexors. Start by strapping a dumbbell to the bottom of your foot using a dumbbell foot strap. While standing, begin to bend the knee to raise the weight towards your buttock. Hold a contraction at the top of the movement for 2-4 seconds before lowering the leg in a controlled manner. You may put your hands on a wall or squat rack for balance support.","HamstringsBiceps FemorisSemitendinosusSemimembranosus, Biceps Femoris, Semitendinosus, Semimembranosus","Yoga Butt / Proximal Hamstrings Tendinitis, Posterior Chain Dysfunction, Lower Cross Syndrome, Hamstring Strain",N/A,https://www.rehabhero.ca/exercise/standing-dumbbell-hamstring-curl
Externally Rotated Straight Leg Raise,"The externally rotated straight leg raise is an end range strengthening exercise for the medial hip flexors. Start by sitting on the floor with the target leg straight in front of you. Bend the non-target leg and hug it to provide stability for your upper body. While keeping the knee straight, raise the affected leg off of the floor as high as possible and hold for 5-7 seconds. Relax and rest for 5-7 seconds and repeat as required.","IliopsoasPsoas MajorIliacus, Psoas Major, Iliacus, Pectineus","Myofascial Pain Syndrome Iliopsoas, Internal Snapping Hip Syndrome, Mechanical Low Back Pain, Anterior Pelvic Tilt, Lower Cross Syndrome, Iliopsoas Tendinitis / Tendinopathy",N/A,https://www.rehabhero.ca/exercise/externally-rotated-straight-leg-raise
Fire Hydrant Circle,The fire hydrant circle is a mobility exercise used to improve active range of motion. Start by going on your hands and knees on a padded surface like a yoga mat or exercise mat. Maintain a neutral lumbar and thoracic spine. Proceed to raise on leg off of the ground and move the thigh by moving in a circular motion. You can complete this exercise in both directions. Be sure to keep the pelvis stable to isolate the movement as much as you can to the hip.,N/A,N/A,"hip (femoroacetabular joint), hip capsule",https://www.rehabhero.ca/exercise/fire-hydrant-circle
Banded Active Dorsiflexion,The banded active dorsiflexion is a dorsiflexion assisted exercise. Take a seat and loop a band around the target foot. Extend the knees so that it is straight in front of you. Allow the tension of the band to pull the ankle into dorsiflexion. Engage your calf muscles to return to a fully plantarflexed position.,"CalfGastrocnemiusSoleus, Gastrocnemius, Soleus, Achilles tendon","Achilles Tendinopathy / Achilles Tendinitis, Calf Strain, Ankle Sprain",N/A,https://www.rehabhero.ca/exercise/banded-active-dorsiflexion
Banded Isometric Ankle Eversion,The banded isometric ankle eversion exercise is used to target the invertors of the ankle. Stary by anchoring a band to a solid object like a band anchor or squat rack beside you. Loop the band around the outer aspect of your forefoot. Sit to the side to increase band tension and hold this resistance for an isometric contraction. Release your hold to complete your repetition.,"peroneals (fibularis)peroneus longus / fibularis longusperoneus brevis / fibularis brevisperoneus tertius / fibularis tertius, peroneus longus / fibularis longus, peroneus brevis / fibularis brevis, peroneus tertius / fibularis tertius",N/A,N/A,https://www.rehabhero.ca/exercise/banded-isometric-ankle-eversion
Banded Isometric Ankle Inversion,The banded isometric ankle inversion exercise is used to target the invertors of the ankle. Stary by anchoring a band to a solid object like a band anchor or squat rack beside you. Loop the band around the inner aspect of your forefoot. Sit to the side to increase band tension and hold this resistance for an isometric contraction. Release your hold to complete your repetition.,"ankle invertorstibialis anteriortibialis posteriorflexor digitorumflexor hallucisextensor hallucis, tibialis anterior, tibialis posterior, flexor digitorum, flexor hallucis, extensor hallucis",N/A,N/A,https://www.rehabhero.ca/exercise/banded-isometric-ankle-inversion
Ankle ABC’s,"The ankle abc’s is an ankle sprain rehabilitation exercise that targets all of the muscles of the shin, calf, and ankle. Start by sitting on a cushioned surface with your target leg straight out in front of you. From here move your foot as to draw out each of the letters of the alphabet. To make this exercise more effective, create the largest motions possible while drawing out each letter. You can vary from set by set by doing the alphabet in capitals, lower case, or even backwards.","Calfgastrocnemiussoleus, gastrocnemius, soleus, Tibial Posterior, Tibialis Anterior, Peronealsperoneus longus / fibularis longusperoneus brevis / fibularis brevisperoneus tertius / fibularis tertius, peroneus longus / fibularis longus, peroneus brevis / fibularis brevis, peroneus tertius / fibularis tertius","Inversion Ankle Sprain, Eversion Ankle Sprain, Chronic Ankle Sprain, Achilles Tendinopathy / Achilles Tear / Achilles Tendinitis, Calf Strain",N/A,https://www.rehabhero.ca/exercise/ankle-abcs
Dumbbell Leg Extension,The dumbbell leg extension exercise requires the use of a dumbbell ankle strap to strengthen the knee extensors. Start by sitting on a chair or bench. Strap a dumbbell to the bottom of your foot. Extend your knee to the fullest range tolerable and hold a strong isometric contraction for 5-7 seconds. Gently lower the leg by bending the knee to complete a repetition.,N/A,N/A,"Quadricepsvastus medialis (vastus medialis oblique)vastus intermediusvastus lateralisrectus femoris, vastus medialis (vastus medialis oblique), vastus intermedius, vastus lateralis, rectus femoris, quadriceps tendon, patellar tendon, anterior cruciate ligament, patellofemoral joint",https://www.rehabhero.ca/exercise/dumbbell-leg-extension
Supine Dumbbell Leg Extension,"The supine dumbbell leg extension exercise is used to restore full knee extension strength, particularly following an acute injury or following surgery in the knee, hip or leg. Start by lying down on the edge of a bed or exercise bench so that your knee is hanging off of the edge. Use a dumbbell foot strap to anchor a weight to the bottom of your foot. Extend your knee to the fullest range tolerable and hold a strong isometric contraction for 5-7 seconds. Gently lower the leg by bending the knee to complete a repetition.",N/A,N/A,"Quadricepsvastus medialis (vastus medialis oblique)vastus intermediusvastus lateralisrectus femoris, vastus medialis (vastus medialis oblique), vastus intermedius, vastus lateralis, rectus femoris, quadriceps tendon, patellar tendon, anterior cruciate ligament, patellofemoral joint",https://www.rehabhero.ca/exercise/supine-dumbbell-leg-extension
Dumbbell Prone Hamstring Curl,The dumbbell prone hamstring curl is a knee flexor strengthening exercise that uses a dumbbell foot strap. Start by strapping on a dumbbell to the bottom of your foot. Lie down on your stomach. Keep the non-target leg straight during this exercise. Bend your knee to raise the weight and to contract the hamstrings muscles.,"HamstringsBiceps FemorisSemitendinosusSemimembranosus, Biceps Femoris, Semitendinosus, Semimembranosus","Yoga Butt / Proximal Hamstrings Tendinitis, Posterior Chain Dysfunction, Lower Cross Syndrome, Hamstring Strain, hamstring tendinitis / hamstring calcific tendinitis",N/A,https://www.rehabhero.ca/exercise/dumbbell-prone-hamstring-curl
Banded Scapular Roll,The banded scapular roll exercise is used to strengthen the scapular retractors in multiple angles. Start by looping a thick pullup assist band around the arm just below the elbow (on your forearm). Loop the other end to a stable band anchor or squat rack. Bend your elbow to 90 degrees and stabilize it by holding your wrist with your free arm. While facing the anchor point take a few steps backwards to add tension to the band. Begin the exercise by retracting the shoulder blade back. Complete a circular motion with your shoulder blade.,"trapeziusupper trapeziusmiddle trapeziuslower trapezius, upper trapezius, middle trapezius, lower trapezius, rhomboidsrhomboid minorrhomboid major, rhomboid minor, rhomboid major",N/A,N/A,https://www.rehabhero.ca/exercise/banded-scapular-roll
Dumbbell Scapular Circle,"The dumbbell scapular circle exercise is for strengthening scapular retraction in multiple different angles. Set yourself up on an exercise bench or couch so that your opposite knee and hand are supported. Keep the same side’s foot firmly planted into the ground, and hold onto a weight with a straight elbow. Begin the exercise by moving the scapula in a circular motion while limiting how much movement is coming from the back and the shoulder. This can be completed in a clockwise and counter clockwise motion.","middle trapezius, rhomboidsrhomboid majorrhomboid minor, rhomboid major, rhomboid minor",N/A,N/A,https://www.rehabhero.ca/exercise/dumbbell-scapular-circle
Back Scratcher Stretch,"The back scratcher stretch is an exercise used to improve shoulder internal rotation flexibility. Start by looping a thick pullup assist band around your arm just above the elbow. Anchor the other end to a stable band anchor or squat rack. Place the back of your hand on your low back. While facing the anchor point, take a few steps back to build up tension in the band. Allow the band’s tension to pull your elbow forwards while keeping your hand firmly held in place. Hold this stretch for up to 2 minutes, and pull your elbow back to contract out of this position. Repeat as required.",N/A,N/A,"infraspinatus, teres minor, glenohumeral joint capsule",https://www.rehabhero.ca/exercise/back-scratcher-stretch
Banded Overhead Press,The banded overhead press is a shoulder stability exercise that uses a loop band. First start by looping a band around both of your wrists. Starting with your hands and wrist just above shoulder height and stacked directly above your elbows. Raise the arms overhead while maintaining tension in the band. Raise the arms until your elbows are fully extended. Lower your hands back down in front of you to starting position to complete a repetition. Keep the forearms aligned with your shoulders during this movement.,N/A,N/A,"Rotator cuffinfraspinatusteres minorsupraspinatus, infraspinatus, teres minor, supraspinatus, Glenohumeral joint, Deltoids, Upper Trapezius",https://www.rehabhero.ca/exercise/banded-overhead-press
Scapular Push Up with Band,"The scapular push up with band is a scapulothoracic joint strengthening exercise. Before beginning, loop a band around your upper band and hold it down to the floor with both hands. It is recommended to complete this exercise on a cushioned surface like an exercise mat or yoga mat. Start by going on your hands and knees and lockout your elbows to prevent them from moving during this exercise. While maintaining a straight arm, circulate the shoulder blade as shown in the video. Be sure to focus on creating the largest movement in a circular motion as possible. Keeping the arms straight is important to uncouple or to dissociate the glenohumeral joint from the scapulothoracic joint.",N/A,"Shoulder Impingement, Rotator Cuff Tear, Shoulder Labral Tear, Dynamic Shoulder Instability, Shoulder Dislocation / Shoulder Subluxation, AC joint sprain / acromioclavicular joint sprain, glenohumeral labral tear","Scapulothoracic Joint, Serratus Anterior, Pectoralis Minor",https://www.rehabhero.ca/exercise/scapular-push-up-with-band
Dissociated Shoulder Rotation,"The dissociated shoulder rotation exercise is used to practice joint independence. Start by hold a dowel with one end anchored down into the floor. Hold the dowel at approximately shoulder height with a thumbs up grip. Without moving the dowel, rotate the shoulder as to rotate the crease of your elbow (cubital crease) towards the ceiling. Complete this movement with as little shoulder blade or torso movement as possible. Once at maximal external rotation, begin to rotate internally by getting the crease of your elbow to point forwards. Return to neutral to complete a repetition.",N/A,N/A,glenohumeral joint,https://www.rehabhero.ca/exercise/dissociated-shoulder-rotation
Assisted Split Squat,"This is an assisted split squat exercise also known as assisted static lunges. Before beginning, support your balance with a stable chair, counter or table. Start by planting both the lead and trail leg in position by bending both knees to 90 degrees. Complete a split squat by extending the front knee to raise the body up to a split stand position.","Quadricepsvastus lateralisvastus intermediusvastus medialisrectus femoris, vastus lateralis, vastus intermedius, vastus medialis, rectus femoris","Strength and Conditioning / Strength Training, Patellar Tendinitis / Quadriceps Tendinitis, Quadriceps Strain, Patellofemoral Pain Syndrome, ITB Syndrome, Knee Meniscus Tear, ACL / PCL / MCL / LCL Tear, Knee osteoarthritis, Hip osteoarthritis",N/A,https://www.rehabhero.ca/exercise/assisted-split-squat
Assisted Lunge,"The assisted lunge is single leg strengthening exercise for the lower body. Start by using a chair, table or stable counter to support your balance. Complete a back lunge by stepping backwards with one foot and landing with the balls of your foot. Keep the core braced to maintain a neutral spine and track the knee with the middle of your foot. Keep the toes of both feet facing forwards. Dip the body down by bending both knees to 90 degrees and step forwards to the initial position to complete a repetition",N/A,"Knee Meniscus Tear, ACL / PCL / MCL / LCL Tear, Ankle Sprain (ATFL, TFL, CFL, PTFL sprain), Achilles Tendinitis / Tendinopathy, Tibialis Posterior Tendinitis / Tendinopathy, knee osteoarthritis, hip osteoarthritis","Quadricepsvastus lateralisvastus mediusvastus intermediusrectus femoris, vastus lateralis, vastus medius, vastus intermedius, rectus femoris, GlutesGluteus Maximus, Gluteus Maximus",https://www.rehabhero.ca/exercise/assisted-lunge
